idx, data structure, Ins/Del Ratio,Read/Write Ratio,Element Size,Number of Elements,Operations Completed
1,Array,0,100,8,10,488441232
2,Array,0,100,8,1000,545659579
3,Array,0,100,8,100000,559181532
4,Array,0,100,8,10000000,539095405
5,Array,0,100,512,10,360756641
6,Array,0,100,512,1000,330506190
7,Array,0,100,512,100000,147533957
8,Array,0,100,512,10000000,9,Array,0,100,8192,10,30836931
10,Array,0,100,8192,1000,23059271
11,Array,0,100,8192,100000,12,Array,0,100,8192,10000000,13,Array,0,99,8,10,484991014
14,Array,0,99,8,1000,535761145
15,Array,0,99,8,100000,50719711
16,Array,0,99,8,10000000,52022
17,Array,0,99,512,10,364538546
18,Array,0,99,512,1000,